"STATION","NAME","DATE","CLDD","DP01","DP10","DT00","DT32","DX32","DX70","DX90","EMNT","EMXP","EMXT","HTDD","PRCP","TAVG","TMAX","TMIN"
"FR000007630","TOULOUSE BLAGNAC, FR","2023-01",,"10","5",,,,,,,"0.64",,,"1.94",,,
"FR000007630","TOULOUSE BLAGNAC, FR","2023-02",,"2","1",,,,,,,"0.25",,,"0.32",,,
"FRE00104052","ALENCON VALFRAMBERT, FR","2023-01",,"18","8",,,"0","0","0",,"0.44","58",,"2.67",,"47.2",
"FRE00104052","ALENCON VALFRAMBERT, FR","2023-02",,"3","0",,,"0","0","0",,"0.01","60",,"0.04",,"50.4",
"FR000007510","BORDEAUX MERIGNAC, FR","2023-01",,"18","10",,,,,,,"0.92",,,"5.02",,,
"FR000007510","BORDEAUX MERIGNAC, FR","2023-02",,"4","3",,,,,,,"1.39",,,"2.10",,,
"FRM00007005","ABBEVILLE, FR","2023-01",,"22","10",,,"0","0","0",,"0.47","61",,"2.84",,"47.8",
"FRM00007005","ABBEVILLE, FR","2023-02",,"12","0",,,"0","0","0",,"0.04","56",,"0.24",,"48.4",
"FRM00007643","MEDITERRANEE, FR","2023-01",,"6","1",,,,,,,"0.44",,,"0.59",,,
"FRM00007643","MEDITERRANEE, FR","2023-02",,"10","3",,,,,,,"0.26",,,"0.93",,,
"FRE00104092","CLERMONT FERRAND, FR","2023-01",,"13","0",,,,,,,"0.08",,,"0.49",,,
"FRE00104092","CLERMONT FERRAND, FR","2023-02",,"5","0",,,,,,,"0.05",,,"0.15",,,
"FRM00007168","BARBEREY, FR","2023-01",,"17","8",,,,,,,"0.48",,,"2.31",,,
"FRM00007168","BARBEREY, FR","2023-02",,"2","1",,,,,,,"0.19",,,"0.20",,,
"FRM00007761","CAMPO DELL ORO, FR","2023-01",,"6","4",,,,,,,"0.68",,,"2.20",,,
"FRM00007761","CAMPO DELL ORO, FR","2023-02",,"8","3",,,,,,,"0.35",,,"0.91",,,
"FRM00007240","VAL DE LOIRE, FR","2023-01",,"15","9",,,,,,,"0.66",,,"2.85",,,
