"STATION","NAME","DATE","AWND","DAPR","MDPR","PRCP","SNOW","SNWD","TMAX","TMIN","TOBS","WDF2","WDF5","WESF","WSF2","WSF5","WT01","WT02","WT03","WT04","WT06","WT08"
"US1TXLM0003","POWDERLY 1.0 S, TX US","2022-01-02",,,,"0.94",,,,,,,,,,,,,,,,
"US1TXLM0003","POWDERLY 1.0 S, TX US","2022-01-09",,,,"0.12",,,,,,,,,,,,,,,,
"US1TXLM0003","POWDERLY 1.0 S, TX US","2022-01-27",,,,"0.01",,,,,,,,,,,,,,,,
"US1TXLM0003","POWDERLY 1.0 S, TX US","2022-02-03",,,,"1.30",,,,,,,,,,,,,,,,
"US1TXLM0003","POWDERLY 1.0 S, TX US","2022-02-04",,,,"0.10",,,,,,,,,,,,,,,,
"US1TXLM0003","POWDERLY 1.0 S, TX US","2022-02-12",,,,"0.04",,,,,,,,,,,,,,,,
"US1TXLM0003","POWDERLY 1.0 S, TX US","2022-02-15",,,,"0.00","0.0",,,,,,,,,,,,,,,
"US1TXLM0003","POWDERLY 1.0 S, TX US","2022-02-17",,,,"0.44",,,,,,,,,,,,,,,,
"US1TXLM0003","POWDERLY 1.0 S, TX US","2022-02-22",,,,"0.92",,,,,,,,,,,,,,,,
"US1TXLM0003","POWDERLY 1.0 S, TX US","2022-02-24",,,,"0.10",,,,,,,,,,,,,,,,
"US1TXLM0003","POWDERLY 1.0 S, TX US","2022-02-25",,,,"0.07",,,,,,,,,,,,,,,,
"US1TXLM0003","POWDERLY 1.0 S, TX US","2022-02-27",,,,"0.06",,,,,,,,,,,,,,,,
"US1TXLM0003","POWDERLY 1.0 S, TX US","2022-03-06",,,,"0.04",,,,,,,,,,,,,,,,
"US1TXLM0003","POWDERLY 1.0 S, TX US","2022-03-07",,,,"0.27",,,,,,,,,,,,,,,,
"US1TXLM0003","POWDERLY 1.0 S, TX US","2022-03-12",,,,"0.10",,,,,,,,,,,,,,,,
"US1TXLM0003","POWDERLY 1.0 S, TX US","2022-03-15",,,,"0.78",,,,,,,,,,,,,,,,
"US1TXLM0003","POWDERLY 1.0 S, TX US","2022-03-16",,,,"0.03",,,,,,,,,,,,,,,,
"US1TXLM0003","POWDERLY 1.0 S, TX US","2022-03-22",,,,"2.20",,,,,,,,,,,,,,,,
"US1TXLM0003","POWDERLY 1.0 S, TX US","2022-03-30",,,,"2.46",,,,,,,,,,,,,,,,
"US1TXLM0003","POWDERLY 1.0 S, TX US","2022-03-31",,,,"0.12",,,,,,,,,,,,,,,,
"US1TXLM0003","POWDERLY 1.0 S, TX US","2022-04-02",,,,"0.04",,,,,,,,,,,,,,,,
